Rk,Player,NationFixed,Nation,Pos,Squad,AgeFixed,Age,Born,MatchesPlayed,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
1,Brenden Aaronson,,USA,MFFW,Leeds United,22,22-101,2000,19,19,1568,17.4,1,2,1,0,0,2,0,2.4,2.4,3.1,5.4
2,Che Adams,,GBR,FW,Southampton,26,26-202,1996,19,17,1480,16.4,4,2,4,0,0,0,0,4.6,4.6,2.5,7.1
3,Tyler Adams,,USA,MF,Leeds United,23,23-351,1999,17,17,1526,17,0,0,0,0,0,4,1,0,0,1.2,1.3
4,Tosin Adarabioyo,,GBR,DF,Fulham,25,25-129,1997,14,12,1095,12.2,1,0,1,0,0,2,0,0.2,0.2,0,0.2
5,Nayef Aguerd,,MAR,DF,West Ham,26,26-307,1996,4,3,346,3.8,0,0,0,0,0,2,0,0.5,0.5,0,0.5
6,Rayan Aït Nouri,,FRA,DF,Wolves,21,21-239,2001,15,7,786,8.7,1,0,1,0,0,2,0,0.7,0.7,1,1.7
7,Kristoffer Ajer,,NOR,DF,Brentford,24,24-289,1998,8,8,673,7.5,0,0,0,0,0,0,0,0,0,0,0.1
8,Manuel Akanji,,CHE,DF,Manchester City,27,27-196,1995,14,13,1196,13.3,0,1,0,0,0,1,0,0.5,0.5,0.1,0.6
9,Nathan Aké,,NLD,DF,Manchester City,27,27-347,1995,14,12,1066,11.8,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5
10,Marc Albrighton,,GBR,FWMF,Leicester City,33,33-074,1989,6,1,237,2.6,1,0,1,0,0,0,0,0.3,0.3,0.9,1.3
11,Thiago Alcántara,,ESP,MF,Liverpool,31,31-295,1991,13,13,1070,11.9,0,0,0,0,0,2,0,0.4,0.4,1,1.4
12,Carlos Alcaraz,,ARG,MF,Southampton,20,20-062,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0
13,Trent Alexander-Arnold,,GBR,DF,Liverpool,24,24-116,1998,19,16,1351,15,1,1,1,0,0,3,0,1.3,1.3,3.8,5.1
14,Alisson,,BRA,GK,Liverpool,30,30-121,1992,19,19,1710,19,0,1,0,0,0,0,0,0,0,0.3,0.3
15,Dele Alli,,GBR,MF,Everton,26,26-295,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0
16,Miguel Almirón,,PAR,FW,Newcastle Utd,28,28-355,1994,20,20,1656,18.4,9,1,9,0,0,1,0,5.4,5.4,1.5,6.9
17,Julián Álvarez,,ARG,FWMF,Manchester City,23,23-000,2000,15,4,488,5.4,4,0,4,0,0,0,0,1.9,1.9,0.4,2.4
18,Daniel Amartey,,GHA,DF,Leicester City,28,28-041,1994,17,15,1365,15.2,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6
19,Joachim Andersen,,DNK,DF,Crystal Palace,26,26-245,1996,17,17,1477,16.4,1,0,1,0,0,3,0,1.1,1.1,0.4,1.4
20,Elliot Anderson,,GBR,FWMF,Newcastle Utd,20,20-086,2002,8,0,104,1.2,0,0,0,0,0,0,0,0.5,0.5,0.5,1
21,Jaidon Anthony,,GBR,MFFW,Bournemouth,23,23-061,1999,15,5,641,7.1,3,0,3,0,0,1,0,1.3,1.3,0.4,1.8
22,Michail Antonio,,JAM,FW,West Ham,32,32-309,1990,19,9,905,10.1,2,2,2,0,0,1,0,2.5,2.5,1,3.5
23,Antony,,BRA,FW,Manchester Utd,22,22-341,2000,11,10,828,9.2,3,0,3,0,0,2,0,2.7,2.7,0.4,3.1
24,Cameron Archer,,GBR,FWMF,Aston Villa,21,21-194,2001,6,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0
25,Alphonse Areola,,FRA,GK,West Ham,29,29-338,1993,2,0,107,1.2,0,0,0,0,0,0,0,0,0,0,0
26,Joe Aribo,,NGA,MFFW,Southampton,26,26-194,1996,18,11,1082,12,2,0,2,0,0,2,0,1.4,1.4,0.8,2.2
27,Adam Armstrong,,GBR,FW,Southampton,25,25-355,1997,19,12,1017,11.3,1,1,1,0,0,0,0,1.4,1.4,0.7,2.1
28,Stuart Armstrong,,GBR,MFFW,Southampton,30,30-307,1992,17,7,765,8.5,1,0,1,0,0,3,0,1.1,1.1,1.7,2.8
29,Kepa Arrizabalaga,,ESP,GK,Chelsea,28,28-120,1994,12,12,1035,11.5,0,0,0,0,0,0,0,0,0,0,0
30,Pierre-Emerick Aubameyang,,GAB,FW,Chelsea,33,33-227,1989,11,4,433,4.8,1,0,1,0,0,1,0,0.7,0.7,0.3,1
31,Ludwig Augustinsson,,SWE,DF,Aston Villa,28,28-285,1994,3,1,77,0.9,0,0,0,0,0,1,0,0.1,0.1,0,0.1
32,Serge Aurier,,CIV,DF,Nott'ham Forest,30,30-038,1992,12,11,947,10.5,1,0,1,0,0,1,0,0.5,0.5,0.8,1.3
33,Taiwo Awoniyi,,NGA,FW,Nott'ham Forest,25,25-172,1997,16,9,730,8.1,4,0,4,0,0,0,0,4.5,4.5,1,5.5
34,Jordan Ayew,,GHA,FWMF,Crystal Palace,31,31-142,1991,20,16,1335,14.8,1,1,1,0,0,1,0,1.4,1.4,1.2,2.6
35,Luke Ayling,,GBR,DF,Leeds United,31,31-159,1991,12,5,524,5.8,0,1,0,0,0,1,0,0.2,0.2,0.8,1
36,César Azpilicueta,,ESP,DF,Chelsea,33,33-156,1989,17,10,992,11,0,0,0,0,0,3,0,0.2,0.2,0.8,1
37,Benoît Badiashile,,FRA,DF,Chelsea,21,21-311,2001,2,2,180,2,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7
38,Leon Bailey,,JAM,FWMF,Aston Villa,25,25-175,1997,19,16,1236,13.7,4,2,4,0,0,4,0,3.9,3.9,2.3,6.1
39,Stefan Bajcetic,,ESP,MF,Liverpool,18,18-101,2004,4,1,119,1.3,1,0,1,0,0,1,0,0.6,0.6,0.2,0.8
40,Patrick Bamford,,GBR,FW,Leeds United,29,29-148,1993,12,4,465,5.2,1,1,1,0,1,0,0,4.6,3.8,0.3,4.1
41,Shandon Baptiste,,GRN,MF,Brentford,24,24-298,1998,12,4,431,4.8,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9
