Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-101,2000,19,19,1568,17.4,1,2,1,0,0,2,0,2.4,2.4,3.1,5.4,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-202,1996,19,17,1480,16.4,4,2,4,0,0,0,0,4.6,4.6,2.5,7.1,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-351,1999,17,17,1526,17.0,0,0,0,0,0,4,1,0.0,0.0,1.2,1.3,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-129,1997,14,12,1095,12.2,1,0,1,0,0,2,0,0.2,0.2,0.0,0.2,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-307,1996,4,3,346,3.8,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,288e1e13
6,Rayan Aït Nouri,fr FRA,DF,Wolves,21-239,2001,15,7,786,8.7,1,0,1,0,0,2,0,0.7,0.7,1.0,1.7,9b398aea
7,Kristoffer Ajer,no NOR,DF,Brentford,24-289,1998,8,8,673,7.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,a8c0acb7
8,Manuel Akanji,ch SUI,DF,Manchester City,27-196,1995,14,13,1196,13.3,0,1,0,0,0,1,0,0.5,0.5,0.1,0.6,89ac64a6
9,Nathan Aké,nl NED,DF,Manchester City,27-347,1995,14,12,1066,11.8,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,eaeca114
10,Marc Albrighton,eng ENG,FWMF,Leicester City,33-074,1989,6,1,237,2.6,1,0,1,0,0,0,0,0.3,0.3,0.9,1.3,b827d5b3
11,Thiago Alcántara,es ESP,MF,Liverpool,31-295,1991,13,13,1070,11.9,0,0,0,0,0,2,0,0.4,0.4,1.0,1.4,77e84962
12,Carlos Alcaraz,ar ARG,MF,Southampton,20-062,2002,1,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4abac767
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-116,1998,19,16,1351,15.0,1,1,1,0,0,3,0,1.3,1.3,3.8,5.1,cd1acf9d
14,Alisson,br BRA,GK,Liverpool,30-121,1992,19,19,1710,19.0,0,1,0,0,0,0,0,0.0,0.0,0.3,0.3,7a2e46a8
15,Dele Alli,eng ENG,MF,Everton,26-295,1996,2,0,40,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,cea4ee8f
16,Miguel Almirón,py PAR,FW,Newcastle Utd,28-355,1994,20,20,1656,18.4,9,1,9,0,0,1,0,5.4,5.4,1.5,6.9,862a1c15
17,Julián Álvarez,ar ARG,FWMF,Manchester City,23-000,2000,15,4,488,5.4,4,0,4,0,0,0,0,1.9,1.9,0.4,2.4,15ab5a2b
18,Daniel Amartey,gh GHA,DF,Leicester City,28-041,1994,17,15,1365,15.2,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,1a4ef233
19,Joachim Andersen,dk DEN,DF,Crystal Palace,26-245,1996,17,17,1477,16.4,1,0,1,0,0,3,0,1.1,1.1,0.4,1.4,e34fc66d
20,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-086,2002,8,0,104,1.2,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,de31038e
21,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-061,1999,15,5,641,7.1,3,0,3,0,0,1,0,1.3,1.3,0.4,1.8,e4238fb1
22,Michail Antonio,jm JAM,FW,West Ham,32-309,1990,19,9,905,10.1,2,2,2,0,0,1,0,2.5,2.5,1.0,3.5,ac05f970
23,Antony,br BRA,FW,Manchester Utd,22-341,2000,11,10,828,9.2,3,0,3,0,0,2,0,2.7,2.7,0.4,3.1,99127249
24,Cameron Archer,eng ENG,FWMF,Aston Villa,21-194,2001,6,0,49,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,05e8ca6d
25,Alphonse Areola,fr FRA,GK,West Ham,29-338,1993,2,0,107,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2f965a72
26,Joe Aribo,ng NGA,MFFW,Southampton,26-194,1996,18,11,1082,12.0,2,0,2,0,0,2,0,1.4,1.4,0.8,2.2,328f7d51
27,Adam Armstrong,eng ENG,FW,Southampton,25-355,1997,19,12,1017,11.3,1,1,1,0,0,0,0,1.4,1.4,0.7,2.1,68c720b5
28,Stuart Armstrong,sct SCO,MFFW,Southampton,30-307,1992,17,7,765,8.5,1,0,1,0,0,3,0,1.1,1.1,1.7,2.8,97333cf5
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-120,1994,12,12,1035,11.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28d596a0
30,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-227,1989,11,4,433,4.8,1,0,1,0,0,1,0,0.7,0.7,0.3,1.0,d5dd5f1f
31,Ludwig Augustinsson,se SWE,DF,Aston Villa,28-285,1994,3,1,77,0.9,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,9fec8860
32,Serge Aurier,ci CIV,DF,Nott'ham Forest,30-038,1992,12,11,947,10.5,1,0,1,0,0,1,0,0.5,0.5,0.8,1.3,5c2b4f07
33,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-172,1997,16,9,730,8.1,4,0,4,0,0,0,0,4.5,4.5,1.0,5.5,e5478b87
34,Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-142,1991,20,16,1335,14.8,1,1,1,0,0,1,0,1.4,1.4,1.2,2.6,da052c14
35,Luke Ayling,eng ENG,DF,Leeds United,31-159,1991,12,5,524,5.8,0,1,0,0,0,1,0,0.2,0.2,0.8,1.0,420d7c7d
